epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,9936.37,1.26998,0.41727,0.00138,0.92883,0.56689,0.75873,0.55232,1.49788,0.55322,0.00227,0.00159608,0.00159608,0.00159608
104,10032.6,1.28583,0.42683,0.00141,0.93447,0.56504,0.7608,0.55231,1.51215,0.55325,0.00228,0.00159212,0.00159212,0.00159212
105,10129,1.25585,0.41148,0.00138,0.94844,0.54194,0.75285,0.55459,1.50417,0.54656,0.00229,0.00158816,0.00158816,0.00158816
106,10224.9,1.29215,0.42615,0.0014,0.93319,0.55834,0.75483,0.54566,1.52282,0.55915,0.00233,0.0015842,0.0015842,0.0015842
107,10320,1.26329,0.40961,0.00137,0.93937,0.56204,0.75996,0.5572,1.49319,0.54572,0.00224,0.00158024,0.00158024,0.00158024
108,10415.7,1.262,0.41293,0.00139,0.93483,0.55684,0.75421,0.54821,1.518,0.56288,0.00231,0.00157628,0.00157628,0.00157628
109,10510.7,1.2483,0.4095,0.00135,0.9459,0.53524,0.74835,0.54717,1.52086,0.58302,0.00228,0.00157232,0.00157232,0.00157232
110,10606,1.23087,0.41232,0.0014,0.93734,0.56342,0.75908,0.55664,1.49876,0.55721,0.00227,0.00156836,0.00156836,0.00156836
111,10702.2,1.25867,0.41421,0.0014,0.94301,0.5372,0.74765,0.54862,1.5221,0.56098,0.0023,0.0015644,0.0015644,0.0015644
112,10798,1.28602,0.42608,0.00139,0.9356,0.56227,0.75866,0.54983,1.51655,0.5669,0.00231,0.00156044,0.00156044,0.00156044
113,10894.5,1.271,0.42597,0.00141,0.94057,0.54852,0.75307,0.54992,1.5042,0.54972,0.00228,0.00155648,0.00155648,0.00155648
114,10990.5,1.26466,0.41809,0.00139,0.93536,0.55499,0.7548,0.55488,1.48735,0.54534,0.00225,0.00155252,0.00155252,0.00155252
115,11086.4,1.26034,0.41411,0.00137,0.93899,0.56007,0.75922,0.55888,1.47949,0.56108,0.00224,0.00154856,0.00154856,0.00154856
116,11182.9,1.22287,0.4043,0.00138,0.94356,0.54656,0.75295,0.55775,1.46902,0.55481,0.00222,0.0015446,0.0015446,0.0015446
117,11278.7,1.27219,0.42308,0.0014,0.94527,0.55268,0.7581,0.55605,1.49502,0.55188,0.00226,0.00154064,0.00154064,0.00154064
118,11374.7,1.27764,0.42699,0.00139,0.93205,0.56573,0.76003,0.55776,1.49012,0.57315,0.00228,0.00153668,0.00153668,0.00153668
119,11471.4,1.26837,0.4216,0.00136,0.93221,0.56712,0.76059,0.56113,1.46565,0.5529,0.00223,0.00153272,0.00153272,0.00153272
120,11569,1.26497,0.42562,0.00143,0.93416,0.55892,0.75581,0.55546,1.48378,0.5563,0.00224,0.00152876,0.00152876,0.00152876
121,11666.7,1.2813,0.42632,0.00139,0.93247,0.55511,0.75437,0.54931,1.5161,0.56682,0.00228,0.0015248,0.0015248,0.0015248
122,11764.3,1.25911,0.41994,0.00138,0.92762,0.57301,0.7588,0.56095,1.45354,0.54065,0.00222,0.00152084,0.00152084,0.00152084
123,11861.1,1.25295,0.41163,0.00135,0.9355,0.5647,0.75907,0.56096,1.46672,0.53378,0.00223,0.00151688,0.00151688,0.00151688
124,11957.6,1.25395,0.41409,0.00137,0.94293,0.54402,0.75118,0.55777,1.47348,0.55813,0.00221,0.00151292,0.00151292,0.00151292
125,12054.5,1.27226,0.42198,0.0014,0.94113,0.55961,0.75827,0.55582,1.49684,0.55803,0.00227,0.00150896,0.00150896,0.00150896
126,12151.4,1.23515,0.40846,0.00133,0.9379,0.56007,0.75883,0.56207,1.46336,0.53341,0.00221,0.001505,0.001505,0.001505
