epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,143081,1.99706,1.15164,0.00329,0.68045,0.43681,0.53551,0.23753,2.42933,1.40024,0.00467,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185
112,144058,2.0401,0.93671,0.0033,0.70987,0.44848,0.55041,0.24115,2.42988,1.23053,0.00466,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
113,144983,2.01629,0.89467,0.00329,0.69691,0.44814,0.54591,0.23567,2.46306,1.26302,0.00468,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
114,145913,2.00359,0.8905,0.00323,0.69325,0.44582,0.54623,0.24181,2.42812,1.30358,0.00467,0.0004065,0.0001355,0.0004065,0.0001355,0.0004065,0.0001355,0.0004065,0.0001355
115,146839,2.02142,0.88859,0.00322,0.70482,0.45275,0.55338,0.24361,2.42757,1.25944,0.00463,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
116,147848,1.98336,0.87359,0.00325,0.70902,0.45136,0.55443,0.24275,2.4373,1.26047,0.00464,0.0003075,0.0001025,0.0003075,0.0001025,0.0003075,0.0001025,0.0003075,0.0001025
117,148752,1.9919,0.8724,0.00323,0.69207,0.44409,0.54532,0.23953,2.43701,1.32186,0.00465,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
118,149749,1.98315,0.87186,0.00324,0.70184,0.44836,0.55092,0.24352,2.42491,1.28704,0.00462,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
119,150640,1.99174,0.86797,0.00325,0.70942,0.44986,0.55496,0.24265,2.43152,1.27579,0.00466,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05
120,151544,1.97735,0.86784,0.00324,0.71285,0.45067,0.55576,0.24652,2.41727,1.27242,0.00464,0.0001095,3.65e-05,0.0001095,3.65e-05,0.0001095,3.65e-05,0.0001095,3.65e-05
