epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,6871.87,1.96192,0.75552,0.00237,0.9618,0.2589,0.61003,0.36213,2.20438,0.89494,0.00355,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
74,6965.55,1.97881,0.76582,0.00238,0.95672,0.2656,0.61108,0.36295,2.19222,0.90123,0.00353,0.00328987,0.00109662,0.00328987,0.00109662,0.00328987,0.00109662,0.00328987,0.00109662
75,7058.93,2.00575,0.76654,0.00238,0.95518,0.27079,0.61337,0.36156,2.21364,0.9052,0.00355,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425,0.00325275,0.00108425
76,7152.3,1.96856,0.75619,0.00235,0.94339,0.30996,0.62781,0.36011,2.21809,0.91647,0.00357,0.00321562,0.00107187,0.00321562,0.00107187,0.00321562,0.00107187,0.00321562,0.00107187
77,7245.45,1.96603,0.75637,0.00237,0.96005,0.27484,0.61736,0.37117,2.16078,0.88757,0.00348,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
78,7338.74,1.9889,0.7607,0.00238,0.96194,0.25404,0.60802,0.3689,2.1838,0.8907,0.00351,0.00314138,0.00104713,0.00314138,0.00104713,0.00314138,0.00104713,0.00314138,0.00104713
79,7431.26,1.95515,0.74671,0.00235,0.96285,0.25451,0.60849,0.35875,2.22786,0.90366,0.00358,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475,0.00310425,0.00103475
80,7523.98,2.01258,0.76076,0.00234,0.96326,0.25139,0.60727,0.36588,2.20271,0.89252,0.00353,0.00306712,0.00102238,0.00306712,0.00102238,0.00306712,0.00102238,0.00306712,0.00102238
81,7617.78,1.95827,0.75097,0.00235,0.95788,0.26271,0.6101,0.36122,2.21823,0.90421,0.00355,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
82,7711.64,1.95555,0.7493,0.00236,0.95895,0.26987,0.6144,0.36732,2.18419,0.8984,0.00352,0.00299288,0.000997625,0.00299288,0.000997625,0.00299288,0.000997625,0.00299288,0.000997625
